,sbd,tinh,toan,van,anh,ly,hoa,sinh,su,dia,gdcd
0,1000252,S? GDÐT Hà N?i,5.4,7,5.4,0,0,0,8,8.5,7.08
0,1000253,S? GDÐT Hà N?i,8.2,4.25,5.6,3.5,4.5,5.17,0,0,0
0,1000254,S? GDÐT Hà N?i,8.8,7,8,0,0,0,7.75,9,8.08
0,1000255,S? GDÐT Hà N?i,8.4,7,6.6,7.75,3.75,6.42,0,0,0
0,1000256,S? GDÐT Hà N?i,7.2,7.25,5,6,5.25,6,0,0,0
0,1000257,S? GDÐT Hà N?i,7.8,7.75,8.8,0,0,0,7.75,8.75,7.92
0,1000258,S? GDÐT Hà N?i,9,7.25,5.6,7,5.25,6.33,0,0,0
0,1000259,S? GDÐT Hà N?i,8.8,8.5,9,0,0,0,7.25,9.25,8.67
0,1000260,S? GDÐT Hà N?i,7.2,8.25,8,0,0,0,7.75,7.5,6.67
0,1000261,S? GDÐT Hà N?i,9.2,6.5,7.8,8.25,7,8,0,0,0
0,1000262,S? GDÐT Hà N?i,8.8,8,8.4,0,0,0,7.25,8.25,7.83
0,1000263,S? GDÐT Hà N?i,8.2,7.75,7.6,6.25,5,6.17,0,0,0
0,1000264,S? GDÐT Hà N?i,4,4.25,0,0,0,0,5.5,0,0
0,1000265,S? GDÐT Hà N?i,8,7,7.8,7.5,4.75,5.83,0,0,0
0,1000266,S? GDÐT Hà N?i,7.8,6.5,7.6,0,0,0,6.25,6.5,5.5
0,1000267,S? GDÐT Hà N?i,6,7.25,4.8,0,0,0,6.75,7.75,7.25
0,1000268,S? GDÐT Hà N?i,7,7,7,0,0,0,7.75,7.25,5.83
0,1000269,S? GDÐT Hà N?i,9.2,8,8,5.75,3.75,5.33,0,0,0
0,1000270,S? GDÐT Hà N?i,8.2,6.5,0,0,0,0,7.75,0,0
0,1000271,S? GDÐT Hà N?i,7.4,6.5,8.4,7.5,4.5,5.08,0,0,0
0,1000272,S? GDÐT Hà N?i,8.6,8,8.6,0,0,0,6,9,8.17
0,1000273,S? GDÐT Hà N?i,8.2,8,7.4,0,0,0,7.25,7.75,7.08
0,1000274,S? GDÐT Hà N?i,8.6,7.5,9.2,0,0,0,7.25,7.75,6.83
0,1000275,S? GDÐT Hà N?i,3.4,6,0,0,0,0,5.25,0,0
0,1000276,S? GDÐT Hà N?i,7.2,7,8,0,0,0,6.25,6.75,6
0,1000277,S? GDÐT Hà N?i,6,7.5,2.4,0,0,0,7.25,8.25,6.08
0,1000278,S? GDÐT Hà N?i,7.8,4.25,6,3,2.75,4,0,0,0
0,1000279,S? GDÐT Hà N?i,7.8,7.25,6.6,0,0,0,7.5,9,8.83
0,1000280,S? GDÐT Hà N?i,7.2,6.5,6,7.75,8,6.67,0,0,0
